Country/port,US,Scandinavia,S. America,Europe,E. Europe,China,Middle East,S. Africa,Oceania,SEA
US,-1,8228,5567,7779,-1,5770,-1,-1,-1,-1
Scandinavia,8228,-1,-1,556,-1,-1,-1,-1,-1,-1
S. America,5567,-1,-1,4172,-1,-1,-1,4069,-1,-1
Europe,7779,556,4172,-1,3494,-1,-1,6206,-1,-1
E. Europe,-1,-1,-1,3494,-1,-1,-1,-1,-1,-1
China,5770,-1,-1,-1,-1,-1,-1,-1,4088,2211
Middle East,-1,-1,-1,-1,-1,-1,-1,4837,5044,3465
S. Africa,-1,-1,4069,6206,-1,-1,4837,-1,-1,5627
Oceania,-1,-1,-1,-1,-1,4088,5044,-1,-1,2302
SEA,-1,-1,-1,-1,-1,2211,3465,5627,2302,-1
